Time (S)	Ch1 Voltage (V)	Ch2 Voltage (V)	
-1.208E-3	0.04000	0.24000
-1.204E-3	0.08000	0.22000
-1.200E-3	0.02000	0.23000
-1.196E-3	0.04000	0.25000
-1.192E-3	0.00000	0.24000
-1.188E-3	0.04000	0.25000
-1.184E-3	0.00000	0.23000
-1.180E-3	0.04000	0.23000
-1.176E-3	0.04000	0.25000
-1.172E-3	0.04000	0.22000
-1.168E-3	0.02000	0.24000
-1.164E-3	-0.02000	0.25000
-1.160E-3	0.02000	0.25000
-1.156E-3	0.00000	0.25000
-1.152E-3	0.00000	0.24000
-1.148E-3	0.00000	0.25000
-1.144E-3	0.00000	0.27000
-1.140E-3	0.04000	0.24000
-1.136E-3	0.02000	0.25000
-1.132E-3	0.04000	0.24000
-1.128E-3	0.02000	0.25000
-1.124E-3	0.04000	0.25000
-1.120E-3	0.02000	0.25000
-1.116E-3	0.00000	0.23000
-1.112E-3	-0.02000	0.25000
-1.108E-3	0.04000	0.24000
-1.104E-3	0.02000	0.24000
-1.100E-3	0.04000	0.25000
-1.096E-3	-0.06000	0.24000
-1.092E-3	0.04000	0.24000
-1.088E-3	0.04000	0.24000
-1.084E-3	0.04000	0.24000
-1.080E-3	-0.02000	0.25000
-1.076E-3	0.04000	0.22000
-1.072E-3	-0.02000	0.25000
-1.068E-3	0.02000	0.24000
-1.064E-3	0.06000	0.25000
-1.060E-3	0.02000	0.25000
-1.056E-3	0.02000	0.24000
-1.052E-3	0.06000	0.24000
-1.048E-3	0.02000	0.24000
-1.044E-3	0.04000	0.23000
-1.040E-3	0.04000	0.25000
-1.036E-3	0.06000	0.23000
-1.032E-3	0.04000	0.25000
-1.028E-3	0.02000	0.24000
-1.024E-3	0.04000	0.24000
-1.020E-3	0.04000	0.25000
-1.016E-3	-0.02000	0.25000
-1.012E-3	0.02000	0.27000
-1.008E-3	0.04000	0.24000
-1.004E-3	0.00000	0.24000
-1.000E-3	0.00000	0.22000
-9.960E-4	0.04000	0.27000
-9.920E-4	-0.02000	0.24000
-9.880E-4	0.08000	0.25000
-9.840E-4	0.02000	0.25000
-9.800E-4	0.02000	0.25000
-9.760E-4	0.02000	0.24000
-9.720E-4	0.02000	0.22000
-9.680E-4	0.02000	0.25000
-9.640E-4	0.02000	0.26000
-9.600E-4	0.02000	0.24000
-9.560E-4	0.04000	0.25000
-9.520E-4	0.00000	0.25000
-9.480E-4	0.04000	0.25000
-9.440E-4	0.08000	0.25000
-9.400E-4	0.02000	0.25000
-9.360E-4	0.04000	0.25000
